seq_index,filename,ndtiff_file,column,row,z,x_px,y_px
75,0075.tif,new_NDTiffStack.tif,3,8,0,5529.600,14745.600
76,0076.tif,new_NDTiffStack.tif,3,7,0,5529.600,12902.400
77,0077.tif,new_NDTiffStack.tif,3,6,0,5529.600,11059.200
78,0078.tif,new_NDTiffStack.tif,3,5,0,5529.600,9216.000
79,0079.tif,new_NDTiffStack.tif,3,4,0,5529.600,7372.800
80,0080.tif,new_NDTiffStack.tif,3,3,0,5529.600,5529.600
81,0081.tif,new_NDTiffStack.tif,3,2,0,5529.600,3686.400
82,0082.tif,new_NDTiffStack.tif,3,1,0,5529.600,1843.200
83,0083.tif,new_NDTiffStack.tif,3,0,0,5529.600,0.000
84,0084.tif,new_NDTiffStack.tif,4,0,0,7372.800,0.000
85,0085.tif,new_NDTiffStack.tif,4,1,0,7372.800,1843.200
86,0086.tif,new_NDTiffStack.tif,4,2,0,7372.800,3686.400
87,0087.tif,new_NDTiffStack.tif,4,3,0,7372.800,5529.600
88,0088.tif,new_NDTiffStack.tif,4,4,0,7372.800,7372.800
89,0089.tif,new_NDTiffStack.tif,4,5,0,7372.800,9216.000
90,0090.tif,new_NDTiffStack.tif,4,6,0,7372.800,11059.200
91,0091.tif,new_NDTiffStack.tif,4,7,0,7372.800,12902.400
92,0092.tif,new_NDTiffStack.tif,4,8,0,7372.800,14745.600
93,0093.tif,new_NDTiffStack.tif,4,9,0,7372.800,16588.800
94,0094.tif,new_NDTiffStack.tif,4,10,0,7372.800,18432.000
95,0095.tif,new_NDTiffStack.tif,4,11,0,7372.800,20275.200
96,0096.tif,new_NDTiffStack.tif,4,12,0,7372.800,22118.400
97,0097.tif,new_NDTiffStack.tif,4,13,0,7372.800,23961.600
98,0098.tif,new_NDTiffStack.tif,4,14,0,7372.800,25804.800
99,0099.tif,new_NDTiffStack.tif,4,15,0,7372.800,27648.000
100,0100.tif,new_NDTiffStack.tif,4,16,0,7372.800,29491.200
101,0101.tif,new_NDTiffStack.tif,4,17,0,7372.800,31334.400
102,0102.tif,new_NDTiffStack.tif,4,18,0,7372.800,33177.600
103,0103.tif,new_NDTiffStack.tif,4,19,0,7372.800,35020.800
104,0104.tif,new_NDTiffStack.tif,4,20,0,7372.800,36864.000
105,0105.tif,new_NDTiffStack.tif,5,20,0,9216.000,36864.000
106,0106.tif,new_NDTiffStack.tif,5,19,0,9216.000,35020.800
107,0107.tif,new_NDTiffStack.tif,5,18,0,9216.000,33177.600
108,0108.tif,new_NDTiffStack.tif,5,17,0,9216.000,31334.400
109,0109.tif,new_NDTiffStack.tif,5,16,0,9216.000,29491.200
110,0110.tif,new_NDTiffStack.tif,5,15,0,9216.000,27648.000
111,0111.tif,new_NDTiffStack.tif,5,14,0,9216.000,25804.800
112,0112.tif,new_NDTiffStack.tif,5,13,0,9216.000,23961.600
113,0113.tif,new_NDTiffStack.tif,5,12,0,9216.000,22118.400
114,0114.tif,new_NDTiffStack.tif,5,11,0,9216.000,20275.200
115,0115.tif,new_NDTiffStack.tif,5,10,0,9216.000,18432.000
116,0116.tif,new_NDTiffStack.tif,5,9,0,9216.000,16588.800
117,0117.tif,new_NDTiffStack.tif,5,8,0,9216.000,14745.600
118,0118.tif,new_NDTiffStack.tif,5,7,0,9216.000,12902.400
119,0119.tif,new_NDTiffStack.tif,5,6,0,9216.000,11059.200
120,0120.tif,new_NDTiffStack.tif,5,5,0,9216.000,9216.000
121,0121.tif,new_NDTiffStack.tif,5,4,0,9216.000,7372.800
122,0122.tif,new_NDTiffStack.tif,5,3,0,9216.000,5529.600
